DENOMINACION_AF,CODIGO_FP,D_CONTENIDOS,D_OBJETIVOS,CODIGO_AREA_TRAD,Languagereveiw
ESPAÑOL_63,Formación complementaria,revision aspect gramatical fundamental asoci nivel expresion oral practic dirig mejor español habl asi correccion error ampliacion vocabulari comprension oral practic dirig comprension español habl aument gradual dificult comprension ejercici propuest lectur document complej escritur practic dirig mejor español escrit particip,"El presente curso tiene por objetivo que los alumnos/as adquieran un nivel  intermedio de expresión y comprensión de la lengua española en las cuatro  destrezas: Escucha, Habla, Lectura y Escritura; desde un enfoque comunicativo,  ampliando los conocimientos.",Lenguas y dialectos españoles,es
INGLÉS NIVEL AVANZADO C1 (V),Formación complementaria,clas desarroll eminent practic cuy conten principal siguient ampli consolid nivel avanz practic tem ingles business ejempl escrib emails habl telefon hac present etc repas gramat avanz modal verbs phrasalverbs condicional ampli vocabulari mejor escritur comprension oral,"El curso de Inglés avanzado que se ha diseñado tiene como objetivo:    - Entender las ideas principales de textos complejos que traten de temas tanto concretos como abstractos, incluso si son de carácter técnico siempre que estén dentro de su campo de especialización.  - Relacionarse con hablantes nativos con un grado suficiente de fluidez y naturalidad de modo que la comunicación se realice sin esfuerzo por parte de ninguno de los interlocutores.  - Producir textos claros y detallados sobre temas diversos así como defender un punto de vista sobre temas generales.",Lenguas extranjeras,es
FORMACIÓN EN OFICINA COMERCIAL,Comercio y márketing,control promocion logist promocion arque caj diari control sorte funcion caj registr atencion public insercion anunci publicitari funcion program public suscripcion,Al final de la formación el alumnado será capaz de gestionar la oficina comercial.,Compraventa,es
FRANCÉS AVANZADO - ENERO/JUNIO - M.A.ADAME,Formación complementaria,vie professionnell vie quotidienn cultur communication grammair,Aprender el idioma en gramática y vocabulario enfocado al área de Logística.,Lenguas extranjeras,vi
ANGLÈS UPPER-INTERMEDIATE 2 5º,Formación complementaria,temps verbals present passat i futur form simpl i perfect oracions condicionals phrasal verbs veu passiv form comparativ i superlativ verbs modals preposicions i expressions preposicionals diferènci gerundis i infinitius estil indirect oracions relativ quantificadors vocabulari financ,"Al final del període de formació, els alumnes podran:  -Mantenir converses telefòniques  -Participar de forma activa a reunions  -Escriure e-mails, faxos i memos  -Escriure informes simples  -Fer suggeriments  -Fer reserves, canvis dhorari i de calendari i rectificacions  -Mantenir entrevistes personals  -Viatjar sense problemes de comunicació a aeroports, estacions, mitjans de transport, hotels, restaurants.  -Fer descripcions dactivitats econòmiques: activitats bursàtils, balanços, resultats.  -Fer negociacions.",Lenguas extranjeras,ca
FRANCÉS B1.1 B,Formación complementaria,gramat idiom adapt nivel comprension escrit adapt nivel expresion escrit adapt nivel comprension oral adapt sl nivel expresion oral adapt nivel,Facilitar la comunicación en Francés en el marco de la empresa  nivel Intermedio B1.1B,Lenguas extranjeras,es
FRANCÉS COMERCIAL A1,Formación complementaria,estructur gramatical adjet nacional masculin femenin verb sappel etre verb avo present negacion nep articul defin adjet poses articul indefin adjet interrog quel quell present verb termin er preposicion lug articul contraid pourquoi parc pregunt cerr estec present verb prendr descendr preposicion nombr pais adjet demostr aim ador nombr verb present verb fair aller articul contraid masculin femenin profesion masculin femenin plural adjet calific pronombr tonic present verb pouv voul dev pronombr on nous imper segund person plural singul maner dec hor present explic habit verb pronominal present expresion tiemp regular moment puntual pas compuest i morfolog coloc negacion formacion pregunt verb dir present futur proxim chez pronombr tonic pas recient vs futur proxim pas compuest ii verb pronominal etre cest il est adjet il noun estructur habl clim tiemp atmosfer estructuras indic fech estacion mes estructur describ lug futur simpl present continu pronombr on ii articul partit defin indefin cantid negat pas pronombr cod l estructur dar consej pronombr cod lui leur pronombr relat qui expresion precis cantid pronombr expresion cantid ii neplus ne imperfect evoc recuerd imperfect situacion pas present situacion actual estructur compar adjet nombr despuis il pronombr cod coi sintesis infinit imper dev pouv infinit il faut infinit preposicion lug formacion palabr lexic ident lugar ciud civil person objet caracterist pais activ tiemp libr deport moment dia event relacion pas tiemp viaj transport com aliment activ cotidian tiemp atmosfer preposicion lug orient famili relacion amist famili medi comun cuerp sanid medicin descripcion fisic psicolog person rop color,"Partiendo del Marco Común Europeo para las lenguas y los niveles que en él se establecen, una vez finalizadas las 90-100 horas lectivas del primer nivel, el alumno será capaz de:    EXPRESIÓN ORAL:    INTERACCIÓN:    - Interactuar de manera simple siempre y cuando la otra persona hable despacio y claro y esté preparada para ayudar.    PRODUCCIÓN:  - Presentarse a si mismo/a y a otras personas.  - Hacer y responder preguntas sobre información personal como el lugar de residencia, gente que conoce, cosas que posee, habilidades y preferencias.  - Utilizar expresiones de la vida cotidiana y construcciones muy básicas para satisfacer necesidades muy básicas.    ASPECTOS CUALITATIVOS DE LA EXPRESIÓN ORAL:    - REPERTORIO: repertorio básico de palabras y estructuras simples relacionadas con información personal y situaciones muy concretas.  - CORRECCIÓN: control limitado de estructuras muy simples de un repertorio memorizado.  - FLUIDEZ: control limitado de expresiones muy cortas y aisladas, con muchas pausas para buscar estructuras y vocabulario, para articular palabras menos conocidas y para reparar la comunicación.  - INTERACCIÓN: interacción limitada, la comunicación depende totalmente de la repetición y la reformulación.  - COHERENCIA: conexión de palabras y frases simples con conectores lineales como y o entonces.    EXPRESIÓN ESCRITA:    - Escribir una postal corta y simple  - Rellenar un formulario con información personal (nombre, nacionalidad y dirección en un hotel / aeropuerto...)  -  Escribir correo electrónico muy simple pero efectivo    COMPRENSIÓN ORAL    - Reconocer palabras que resultan familiares y frases muy básicas sobre uno/a mismo/a, la familia y contextos conocidos siempre y cuando las personas hablen despacio y claro.    COMPRENSIÓN ESCRITA    - Entender vocabulario y estructuras muy simples en pósters, anuncios o catálogos.",Lenguas extranjeras,es
DERECHO CIVIL PATRIMONIAL,Formación complementaria,i derech subjet represent ii person person fisic registr civil person jurid iii derech real concept caracter iv cos patrimoni v posesion vi mod adquir propied vii propied viii copropied propied horizontal ix registr propied x derech real limit xi derech real garant caracter comun xii oblig xiii cumplimient incumpl extincion transmision oblig asegur efect credit garant real xiv respons civil xv contrat xvi contrat particul xvii matrimoni econom xviii sucesion mortis caus,Aprender las normas y funcionamiento básicos de las instituciones de derecho civil patrimonial.,Competencia clave,es
FRANCÉS FUNCIONAL 2,Formación complementaria,conten gramatical preterit perfect uso imperfect uso concord participi pas diferent uso preterit perfect imperfect diferent uso mod indic subjunt present subjunt verb irregular pas subjunt formacion uso expresion tiemp il depuis pendant pour gerundi formacion uso adjet pronombr indefin adjet cardenal ordinal adverbi formacion situacion lingüist habl trabaj experient proyect coment grafic redact anunci redact cv cart motiv ped vacacion habl condicion emple comprend norm intern conoc proces desp recog transmit mensaj sencill filtr gestion llam telefon identific person llam telefon entend peticion conclu desped tem referent empres busqued emple entrev trabaj cart motiv cv solicitud vacacion formacion siti internet grafic condicion laboral sueld vacacion horari formacion desp centralit llam telefon,1- Aumentar la competitividad de la empresa con el fin de desarrollar y consolidar la presencia de la compañía en el resto de Europa.  2- Mejorar la atención a los clientes europeos a través de la mejora de los procesos de comunicación interna con las oficinas existentes en los distintos países europeos mediante la mejora de los conocimientos del idioma oficial en cada caso.  3- Conseguir alcanzar un nivel de Francés Funcional 2 El alumno puede comunicar con cierta eficacia en reuniones sociales y de negocios y puede planificar viajes con facilidad. Puede escribir circulares y fax con ayuda y puede entender escritos de una mayor complejidad. Vocabulario de unas 1400 palabras.,Lenguas extranjeras,es
INGLÉS 2 HORAS SEMANA,Formación complementaria,gramm teor practic nivel ejercici practic prueb period vocabulary general especializ depend are trabaj public speaking ejercici mejor pronunci taller negoci present prepar entrev asi multiconferent sesion telefon comprension comun escrit business writing tecnic redaccion emails cart escrit formal reading skills lectur tip escrit,El curso consolida y amplía el conocimiento de las estructuras de la lengua y permite construir un discurso más elaborado y matizado sobre temas generales de la vida personal y profesional,Lenguas extranjeras,es
MÁSTER EN SUPPLY CHAIN MANEGEMENT & LOGISTICS,Comercio y márketing,modul nuev ret gestion compr sourcing aprovision funcion compr entorn actual respons funcion compr desarroll estrateg compr med funcion compr outsourcing contract manufacturers tip onshoring offshoring etc indic gestion proces compr kpis gestion stocks plan estrateg budget inventory management sal and operations planning tip stock implic financ stock segur etc aprovision control abc stock mix mrp mprii etc modul tecnic sistem avanz gestion produccion calid estrategi comercial indic gestion proces industrial kpis lean manufacturing just in tim jidok s tpm estabiliz sistem product teor restriccion quick respons manufacturing qrm geston calid modul alcanz existent distribu almacenaj manipul transport logist invers estrategi competit servici client canal distribu funcion criteri seleccion factor afect seleccion canal import canal principal canal distribu almacenaj clasif almacen zon are cost localiz metod almacenaj lay out etc manipul principi unidad medi sistem gestion recepcion prepar ped crossdock marketing promocional sistem control factor clav element automatiz etc gestion transport principal actor contrat modal terrestr maritim aere multimodaladr incoterms rut suministr distribu capil logist invers canal directoinvers aspect estrateg clasif sistem invers caracterist altern tip orig product etc outsourcing tip contrat ventaj riesg fas ret estrategi transport distribu pl seleccion integr indic gestion proces distribu kpis ecr concept estrategi aspect logist comport consumidor control mejor evolu gestion proces control estadist manten mejor ciclopdc herramient mejor calid modul operations management gam simulation tools gestion riesg caden logist analiz escenari grad incertidumbr elabor estrateg plan contingent modul desarroll compentencial direct supply chain manag gestion talent ventaj competit modul optimiz caden suministr estrategi elogistics modul gestion global caden suministr logist merc internacional modul tendenci mejor practic caden suministr gestion innov sostenibil medioambiental respons social trabaj final proyect gestion caden suministr,"frecer una visión integral sobre la gestión de los procesos de negocio que componen la Cadena de Suministro.   - Dirigir el área de operaciones y logística o cualquier departamento vinculado a la misma desde una visión del posicionamiento actual de la logística respecto de los últimos desarrollos en redes de distribución, de consumidores y de suministradores, así como las nuevas formas de gestionar nuestras relaciones de red y de canal.  - Desarrollar Habilidades Directivas y conocer las técnicas de gestión más útiles, convirtiendo a personas en managers expertos en la gestión de la Cadena de Suministro.  -  Dominar herramientas de toma de decisiones para la correcta optimización de los flujos logísticos.  -  Optimizar la gestión del área a partir de la aplicación adecuada de las Tecnologías de la Información, permitiendo dar una respuesta eficiente a las necesidades actuales en el ámbito de la Cadena de Suministro y la generación de servicios de valor añadido.  -  Conocer los retos de la gestión global de la Cadena de Suministro y de los mercados internacionales más importantes.  -  Ser consciente de la Importancia de realizar una gestión de la Cadena de Suministro sostenible con el medioambiente.  -  Saber cómo gestionar la Cadena de Suministro de una manera ética y socialmente responsable.",Logística comercial y gestión del transporte,es
ESTADISTICA,Formación complementaria,instal r rcommand present paquet r command analisis descript grafic variabl cualit tabl contingent grafic analisis descript grafic variabl cuantit compar relacion variabl interval contrast medi varianz proporcion distribu probabil propiedad distribu normal contrast normal contrast ajust analisis regresion correl model regresion multipl analisis varianz factor model analisis varianz tecnic factorial analisis component principal tecnic clasif analisis clust analisis discrimin,"Exposición  de las técnicas y herramientas estadísticas con RCommander.  Definición de objetivos, elementos, datos y aplicación mediante ejemplos",Competencia clave,es
FRANCÉS A1.1 C,Formación complementaria,gramat idiom adapt nivel comprension escrit adapt nivel expresion escrit adapt nivel comprension oral adapt sl nivel expresion oral adapt nivel,Facilitar la comunicación en Francés en el marco de la empresa - nivel Básico A1.1C,Lenguas extranjeras,es
FORMACIÓN INICIAL REPARALIA DIRECT SLU,Administración y gestión,bloqu integr cas practic escuch modul aplic informat bloqu integr modul proced bloqu integr cas practic escuch evaluacion formacion inicial certif training in the job cierr formacion,"Formación inicial parcial en la compañía para ofrecer/ vender los seguros propios de Reparalia. Conocer la compañía, productos y herramientas propias de Reparalia, para el desarrollo de su actividad profesional en el puesto de trabajo como  gestor telefónico.",Administración y auditoría,es
INTERNET Y COMERCIO ELECTRÓNICO EN LA EMPRESA,Informática y comunicaciones,product internet utiliz herramient ofrec internet mejor product comun empres introduccioncomunicaciongestion inform uso buscador uso principal buscador introduccionclav exprim maxim googlemetod busqued importantessupuest practic busqued eficienteclav exprim maxim yahooclav exprim maxim bingus multibusc yubnub corre electron com cre cuent corre distint proveedor adapt neces introducciontip corre electronicocom consult corre electronicocr configur cuent corre electronicobuen practic usar email vend internet analiz ventaj ofrec vent onlin introduccionel uso comerci electron empres tradicional cas exitoventaj vent internetdesventaj vent traves internet metod vent onlin metod vent internet sab cre tiend onlin introduccionl pag transaccion electronicasmetod vent onlin marketing onlin empres com promocion tiend internet estudi competent introduccionmarketing onlineaspect legal lssi presenci internet oblig legal vend traves internet introduccionl lssi dni certific electron disposit identif virtual segur introducciondniecertific electronicofirm electron,"- CONOCER LAS HERRAMIENTAS DE COMUNICACIÓN Y GESTIÓN DE LA INFORMACIÓN.  - SABER QUÉ BUSCADORES EXISTEN Y CUÁLES NOS PUEDEN SER MÁS ÚTILES.  - CONOCER LOS SERVICIOS DE CORREO QUE OFRECE LA RED Y SUS CARACTERÍSTICAS.  - APRENDER LAS VENTAJAS QUE OFRECE INTERNET A LA HORA DE VENDER Y DISTRIBUIR UN PRODUCTO Y/O SERVICIO, ASÍ COMO SUS MECANISMOS.  - SABER LAS TÉCNICAS PARA PROMOCIONAR UNA TIENDA ONLINE.  - CONOCER LAS OBLIGACIONES QUE TIENE NUESTRA EMPRESA EN INTERNET PARA CUMPLIR CON LA LSSI, ASÍ COMO LOS DISPOSITIVOS DE IDENTIFICACIÓN VIRTUAL SEGURA.",Sistemas y telemática,es
ALEMÁN_63,Formación complementaria,analisis nivel inicial alumn conoc previ competent comunic lexic profesional gir expresion modism usual idiom aleman form oral escrit realiz convers flu contempl element propi ambit aleman comercial competent gramatical conoc reconoc vocabulari especif ambit empresarial elabor document fax cart aleman lenguaj comercial ejemplif situacion comun atencion client personal telefon,Adquirir una capacidad de comprensión y expresión oral y escrita derivados de la actividad a desarrollar en su relación laboral y empresarial,Lenguas extranjeras,es
UPPER- INTERMEDIATE 2N TRIMESTRE CURS 2016-2017,Formación complementaria,entendr gran part llenguatg parlat context mes i menys rutinaris i segu lini argumental dun presentac mes llarg relacion amb lentorn dun mateix assist entrev explicant sev qualitats experiènci motivac etc particip reunions on pugui explic seu punt vist i argument favor i fer presentac tecnic reconèix i extreur informac detall dun gran varietat correspondènci estàndard articl i inform i sab respondr adequadament prendr not per pod transmetr informac detall correctament produ text llargs tem divers explicant punts vist raonadament i amb precis,Preparar a los estudiantes para el examen Cambridge English First,Lenguas extranjeras,ca
WORD EN LA EMPRESA,Informática y comunicaciones,introduccion arranc wordprim text oper basic abrir cre documentosmenus control titul boton maximiz minimiz cerrartrabaj vari documentosdiferent form guard document element word opcion ayud wordbarr herramient acces rapidol barr titulol barr estadol barr desplazamientov document impresionel zoom funcion basic trabaj i hoj trabajoescrib seleccion borr textodeshac rehac vist preliminarformat textoalin funcion basic trabaj ii copi cort pegarcopi formatomov textonumer viñetasbord sombr opcion trabaj sangriainterlineadonumer paginasencabez pie paginaletr capital tabl form cre tabl opcionesformatoalin tamañoinsert form grafic wordartinsert imagenesmodific imagenesgraf,1. APRENDER A MANEJAR LAS HERRAMIENTAS DE LAS QUE DISPONE WORD PARA EL TRABAJO.  2. COMPRENDER LAS OPCIONES QUE NOS OFRECE UN PROCESADOR DE TEXTOS TAN POTENTE.  3. CONOCER LAS MEJORES OPCIONES QUE NOS OFRECE WORD.  4. FAMILIARIZARSE CON LAS HERRAMIENTAS BÁSICAS PARA TRABAJAR CON WORD.  5. SABER QUÉ VENTAJAS NOS OFRECE EN CUANTO AL TRABAJO O PUESTO DE TRABAJO  CON SUS DIFERENTES HERRAMIENTAS.  6. APRENDER A GUARDAR EL TRABAJO REALIZADO PARA CONSERVARLO O HACER FUTURAS MODIFICACIONES.  7. ASIMILAR LOS PASOS NECESARIOS PARA PODER IMPRIMIR EL TRABAJO REALIZADO SI ES NECESARIO.  8. CONOCER LAS TÉCNICAS NECESARIAS PARA TRABAJAR SOBRE EL FORMATO DE LOS DISTINTOS TEXTOS.  9. ADQUIRIR CONOCIMIENTOS PARA TRABAJAR CON EL PORTAPAPELES.  10. ADQUIRIR CONOCIMIENTOS NECESARIOS PARA EL TRABAJO CON TABLAS E IMÁGENES.  11. ADQUIRIR CONOCIMIENTOS QUE FACILITAN LA REALIZACIÓN DE PORTADAS CON LA HERRAMIENTA WORD ART.,Sistemas y telemática,es
LLEI DE TRANSPARÈNCIA,Formación complementaria,consideracions generals transparènci administracions publiqu i sev regulac informac sector public publicitat activ acces i reutilitzac marc legal dret dacces informac public llei catalan desembr transparènci acces informac public i bon govern vs llei desembr transparènci acces informac public i bon govern àmbit daplicac legislac transparènci publicitat activ informac object publicitat activ els principis publicitat activ mitjans per fer efectiv obligacions publicitat activ els portals transparènci reutilitzac informac public dret dacces informac public distinc amb dret dacces regulat lopd informac object dret dacces subject pod exerc dret dacces limits dret dacces limits formals b limits materials especial referènci protecc dad caràct personal c ponderac d lleis especials procediment per lexercici dret dacces qüestions pràctiqu vinculad procediment dacces informac public els mecanism garanti respect dret dacces particul reclamac davant comiss garanti dret dacces informac public transparènci tramitac dels procediments administratius novetats llei d doctubr procediment administratiu comu administracions publiqu,Aconseguir que els participants assimilin eficaçment els continguts proposats a l'acció formativa.,Competencia clave,ca
MANEJO DEL SOFTWARE DE BLATTA TPV HOSTELERIA 2017,Comercio y márketing,conten teoric organiz leccion modul conoc iran capacit manej program vent gestion conoc hardwar requisit min pc tip perifer conexion perifer com conect tpv primer pas tpv version softwar instal softwar puest cer configur inicial configur internacional configur impresor tickets configur tickets factur configur sector configur tarif configur avanz alta articul tpv oper articul alta proveedor tip ingres agent vent configur funcion configur cierr caj configur botoner configur tickets entrad diner intern fideliz oper caj apertur caj retir caj pag ingres caj cierr caj realiz vent vent direct mostrador vent aparc mes funcion especif sector cerr vent modif dat vent seccion androidkindl seccion andro kindl instal aplic hac vent andro vent direct vent mes grup funcion andro proces vent gestion client gestion control agent gestion control stock oper tickets inform cierr caj inform vent almacen invit descuent funcion macr funcion grup funcion macr impresor comand radiocomand ticket configur configur impresor principal impresor comand configur format comand funcion pdas program gestion terminal articul menu terminal alta terminal configur menu articul gestion articul oper normal avanz articul gestion adit modif gestion ofert gestion tarif etiquet articul estant program gestion escandall almacen compr agent menu escandall menu almacen alta nuev almacen gestion inventari traspas mercanc menu compr gestion proveedor plantill compr gestion compr menu personal gestion agent vent oper agent program gestion cierr caj list inform configur aplic actualiz menu cierr caj cierr local global arque caj movimient caj menu list inform histor tickets factur inform avanz inform cierr caj vent inform menu configur aplic configur form pag gestion tip ingres gestion tip invit menu actualiz virtuap instal acces virtuap configur articul famili escandall modif almacen inform client agent vent proveedor form pag tarif impuest,"- Aportar al alumno de un modo rápido y sencillo las competencias necesarias para gestionar stocks, pedidos, ventas y cobros de un comercio mediante el uso de herramientas informáticas.    - Adquirir los conocimientos necesarios para poder trabajar con las aplicaciones de Blatta TPV de forma que los usuarios puedan aprovechar todo el potencial que les brinda las mismas.    - Mejorar el manejo de la caja registradora/TPV mejorando así la calidad del servicio ofrecido.     - Adquirir competencias y habilidades para desarrollar el proceso de venta de forma adecuada y eficaz. Aplicando las funciones básicas de la caja: apertura, facturación y cierre.    - Conocer diferentes formas de actuar ante determinadas situaciones de cobro y postventa: medios de pago, operaciones con tickets y facturas    - Controlar los movimientos de mercancías en los almacenes y la gestión de stocks.",Compraventa,es
NIVEL BASICO DE PREVENCION DE RIESGOS LABORALES EN LA CONSTRUCCION Y METAL,Seguridad y medio ambiente,on lin modul i concept basic segur salud h trabaj salud riesg profesional factor riesg dañ deriv trabaj accident trabaj enfermedad profesional patolog deriv trabaj marc normat basic materi prevencion riesg laboral deber oblig basic materi modul ii riesg general prevencion h riesg lig condicion segur riesg lig medi ambient trabaj carg trabaj fatig insatisfaccion laboral sistem elemental control riesg medi proteccion colect equip proteccion individual plan emergent evacu control salud trabaj modul iii primer auxili h proced general plan actuacion presencial modul iv riesg especif prevencion sector construccion h diferent fas obra proteccion correspondient red barandill andami plataform trabaj escaler etc implant obra local higien sanitari instal provisional etc modul v element basic gestion prevencion riesg organ public relacion segur salud trabaj organiz prevent trabaj rutin basic document recog elabor archiv represent trabaj derech oblig deleg prevencion comit segur salud trabaj design etc," Sensibilizar, motivar y fomentar conductas laborales seguras.   Contribuir a la reducción de siniestralidad mejorando las condiciones de trabajo de nuestros clientes de la manera más efectiva.   Dar a conocer a los trabajadores la información necesaria para preservarse y reducir los riesgos que puedan existir en sus puestos de trabajo.",Seguridad y prevención,es
INGLÉS INTERMEDIO B1 (III),Formación complementaria,conten principal accion format consolid tiemp verbal avanz profundiz tiemp futur aprend tiemp verbal continu modal posibil habil deduccion gerundi infinit tres condicional vocabulari enseñ transport cas etc debat comprension articul internet comprension entrev tem especif relacion trabaj,"Los objetivos del curso es lograr que el participante obtenga un nivel aceptable para comunicarse bien, expresarse correctamente, entender la mayoría de situaciones, y entender y escribir textos de mayor envergadura.    Asimismo, se introducen más temas relacionados con el trabajo.",Lenguas extranjeras,es
CUROS DE INGLES NIVEL B1+,Formación complementaria,modul plac viaj vacacion geograf histori modul success trabaj millonari escuel aprendizaj modul scienc technology invent transport experiment internet modul leisur entreten hobbi cin teatr muse modul natur medi ambient contamin animal desastr natural modul health fitness problem salud deport com sueñ modul modern lif anunci tiend multimedi vid ciud camp,"Adquirir competencias de nivel B1+ en las áreas de gramática, lectura, escucha, habla y escritura de la lengua inglesa.",Lenguas extranjeras,es
INGLÉS OFICINAS GRUPO A,Formación complementaria,estructur gramatical present simpl vs present continu compar usos tiemp verbal pas simpl continu perfect form futur going to present continu willshall present perfect pas simpl present perfect continu estructur compar superl verb modal oblig must hav to dont hav to verb modal deduccion must may might cant verb modal habil posibil can could be able to prim condicional futur oracion subordin tiemp segund condicional expres habit usually used to cuantif articul aanth articul cer estructur verbal gerundi infinit discurs indirect report speech afirm pregunt orden voz pasiv be participi pas oracion relat terc condicional question tags pregunt indirect phrasal verbs vocabulari com restaur deport famili personal econom phrasal verbs adjet grad superior exhaust amaz filthy medi transport viaj how long tak telefon movil descripcion person look look lik adjet termin eding so educ arquitectur aloj amist verb get formacion nombr verb adjet preposicion conjuncion mund laboral compr cinem formacion adjet adverbi what which nombr compuest television medi comun phrasal verbs,"Partiendo del Marco Común Europeo para las lenguas y los niveles que en él se establecen, una vez finalizadas las 90-100 horas lectivas el alumno será capaz de:    EXPRESIÓN ORAL:    INTERACCIÓN:      - Mantener una conversación o argumentación aunque con dificultades para seguir cuando intente explicar de manera precisa lo que quiere.  - Mantener la conversación aunque haciendo pausas para seleccionar y producir las estructuras gramaticales y léxicas.  - Tomar iniciativa en una conversación / entrevista como por ejemplo sacar un nuevo tema pero todavía se depende de la persona que pregunta.  - Saber gestionar las situaciones comunicativas propias de un viaje.  - Tomar mensajes con peticiones.  - Llevar a cabo una entrevista preparada.  - Comprobar y confirmar información aunque todavía se necesitará ayuda y se pedirá que el interlocutor repita el contenido.  - Intercambiar información sobre rutinas conocidas y temas no tan conocidos pero con los que el hablante se siente cómodo.    PRODUCCIÓN:    - Expresar su opinión de una manera comprensible aunque no correcta y no sin dificultades en contextos informales.  - Utilizar un repertorio de estructuras simples de manera flexible para conseguir sus objetivos.  - Contribuir de manera más o menos espontánea en conversaciones sobre temas conocidos.  - Quejarse.  - Pedir a alguien que clarifique lo que ha dicho o explicar lo que se acaba de decir.  - Expresarse en situaciones cotidianas con contenido predecible  - Explicar sentimientos.  - Describir aspectos de la vida cotidiana y del ambiente que le rodea: personas, trabajo, zona, estudios, hobbies, viajes...  - Describir experiencias pasadas.  - Describir hábitos y rutinas.  - Describir intenciones y planes de futuro.  - Explicar preferencias.  - Describir hechos y actividades de manera breve.  - Describir propiedades.  - Comparar objetos, personas y propiedades.  - Expresar obligaciones, recomendaciones, prohibiciones, posibilidades.  - Expresar condiciones.  - Expresar hipótesis.  - Explicar problemas.  - Proporcionar información concreta en una entrevista/consulta pero con precisión todavía limitada.  - Explicar por qué algo supone un problema.  - Resumir y/o dar la opinión sobre una historia, hecho, artículo, charla o documental.  - Describir cómo hacer algo.  - Dar instrucciones detalladas.    ASPECTOS CUALITATIVOS DE LA EXPRESIÓN ORAL:    - REPERTORIO: utilización de estructuras básicas, grupos de palabras y fórmulas de manera más flexible para comunicar información sobre temas habituales con alguna duda.  - CORRECCIÓN: utilización de manera bastante correcta de un repertorio de rutinas y estructuras muy comunes asociadas a situaciones predecibles.  - FLUIDEZ: hacerse entender en expresiones muy cortas, aunque las pausas para corregir estructuras y planificar el vocabularios son evidentes.  - INTERACCIÓN: iniciar una conversación y mantenerla aunque todavía depende del interlocutor que es el que lleva la iniciativa.  - COHERENCIA: conectar grupos de palabras con conjunciones simples como y, pero y porque.    EXPRESIÓN ESCRITA:    - Escribir descripciones de personas y lugares.  - Escribir una carta o correo electrónico informal y/o personal.  - Escribir una carta o correo electrónico formal.  - Escribir un CV  - Expresar opiniones personales.  - Describir a una persona.  - Relatar una historia.  - Escribir una reseña sobre una película o libro.  - Escribir un artículo.    COMPRENSIÓN ORAL:    - Entender las ideas principales en conversaciones o argumentaciones largas, siempre y cuando el discurso se articule de manera clara y con un dialecto estándar y sea sobre temas conocidos como el trabajo, la familia, la escuela, el tiempo libre etc.  - Entender las ideas principales que aparecen en los medios de comunicación siempre y cuando la transmisión sea relativamente clara y lenta.    COMPRENSIÓN ESCRITA:    - Entender textos sobre temas cotidianos o temas relacionados con el trabajo.  - Entender descripciones de hechos, sentimientos y deseos en cartas personales.  - Entender contenido de correos electrónicos relacionados con temas conocidos (trabajo, familia, amistades, estudios, hobbies...)",Lenguas extranjeras,es
INGLÉS INTERMEDIO,Formación complementaria,gramat escritur fras preposicional conector contr despit even if whil verb frasal expresion resum overall sum up all in all verb ing infinit lenguaj comun telefon mail trat problem reserv disculp dar solucion negoci tarif servici describ rutin trabaj describ person aparient personal interes sentimient tip transport viaj descripcion compar ingles coloquial expresion context profesional,Saber expresarse de forma fluida y espontánea sin muestras muy evidentes de esfuerzo para encontrar la expresión adecuada. Puede hacer un uso flexible y efectivo del idioma para fines sociales y profesionales.,Lenguas extranjeras,es
INGLÉS NIVEL AVANZADO C1 (II),Formación complementaria,clas desarroll eminent practic cuy conten principal siguient repas tiemp verbal avanz construccion pasiv avanz phraselverbs describ tendenci usar estadist vocabulari avanz mund negoci escuch program autent internet debat discusion bien prepar tem business,"El objetivo del curso es lograr que el participante logre expresarse de manera precisa y coherente usando vocabulario y expresiones avanzadas; escribir todo tipo de textos, informes y cartas; entender una gran variedad de inglés oral con varios acentos en entrevistas y noticias, etc.; profundizar en la gramática avanzada; y, adquirir vocabulario específico del puesto de trabajo así como expresiones más complejas.",Lenguas extranjeras,es
CURSO DE INGLES NIVEL ADVANCED 2,Formación complementaria,leer rapidez suficient segu curs academ tom not bastant complet exact reunion hac aport maner efect reunion seminari dentr propi are trabaj habl fluidez tem divers manten convers extend ampli gam tem expres opinion present argument ser capaz escrib comun effect bien expres, Estudio de las estructuras gramáticas necesarias para alcanzar el Nivel C1 del Marco de Referencia Europeo   Estudiar vocabulario necesario para alcanzar el Nivel C1 del Marco de Referencia Europeo   Familiarizarse con las tareas del examen ADVANCED   Practicar expresión oral y escrita para alcanzar el Nivel C1 del Marco de Referencia Europeo   Mejorar comprensión auditiva y escrita para alcanzar el Nivel C1 del Marco de Referencia Europeo,Lenguas extranjeras,es
"PROGRAMA EJECUTIVO EN EL CONTROL DE GESTIÓN, ESTRATEGIA E INNOVACIÓN (PECEI)",Administración y gestión,modul integr control gestion gestion presupuestari cost riesg financ tesor etc modul estrategi innov control gestion estrategi innov cuadr mand project management habil personal etc modul especializ itinerari eleg economicofinancier marketingcomercial aprovisionamientoproduccion controll digital,"Formar profesionales de alto nivel, introduciéndoles y aportándoles una visión general y conceptual, así como un amplio conocimiento de los instrumentos y técnicas en el control de gestión, de modo que sean capaces de entregar soluciones prácticas a los desafíos que impone el mundo actual de los negocios, para crear valor en sus organizaciones.",Administración y auditoría,es
